column,中文名称,单位或格式,说明
symbol,证券代码,文本,ETF或证券代码，例如159915、510300、511010
name,证券名称,文本,证券简称或基金名称
sma_window,均线周期,交易日,简单移动平均线窗口长度，例如50/100/150/200/250
capital_cny,回测本金,人民币元,用于计算最低佣金影响的假设本金规模
commission_rate,佣金费率,小数,券商佣金费率；当前口径为0.0001，即万1
min_commission_cny,单笔最低佣金,人民币元,每次成交最低收取佣金；当前口径为5元，不免五
slippage_rate,单边滑点率,小数,每次买入或卖出假设发生的滑点/冲击成本率
avg_effective_commission_rate,平均有效佣金率,小数,考虑最低5元后，实际每次成交对应的平均佣金率
min_commission_bind_rate,最低佣金触发比例,小数,所有交易中被5元最低佣金约束的比例；1表示全部触发
trade_count,交易次数,次,策略发生仓位变化的次数；买入和卖出都计入一次
turnover_per_year,年均换手次数,次/年,交易次数按样本年数折算后的年度交易频率
time_in_market,在场比例,小数,策略持仓天数占全部交易日的比例
total_commission_cny,累计佣金,人民币元,整个回测期间按本金规模计算出的佣金总额
total_slippage_cny,累计滑点成本,人民币元,整个回测期间按本金规模计算出的滑点总额
total_cost_cny,累计交易成本,人民币元,累计佣金加累计滑点成本
gross_total_return,未扣成本总收益率,小数,策略在扣除佣金和滑点前的累计收益率
net_total_return,扣成本后总收益率,小数,策略扣除佣金和滑点后的累计收益率
cost_drag_vs_gross,成本拖累,小数,扣成本后总收益率减未扣成本总收益率；通常为负数
bh_total_return,买入持有总收益率,小数,同一标的买入并持有的累计收益率
excess_vs_bh,相对买入持有超额收益,小数,扣成本后策略总收益率减买入持有总收益率
net_annualized_return,扣成本后年化收益率,小数,扣除交易成本后的年化收益率
net_max_drawdown,扣成本后最大回撤,小数,扣除交易成本后的最大回撤；通常为负数
net_sharpe,扣成本后夏普比率,数值,基于日收益折算的年化夏普比率，未扣无风险利率
net_calmar,扣成本后Calmar比率,数值,扣成本后年化收益率除以最大回撤绝对值
