category,metric,meaning,watch_out,decision_use
收益,annualized_return,把历史总收益折算成年化，用于不同样本长度比较。,不能单独用它选参数；高年化可能来自高回撤、高换手或样本内过拟合。,作为第一层排序指标，但必须和回撤、夏普、样本外一起看。
收益,total_return / final_nav,全样本累计收益或最终净值。,样本越长越容易放大复利差异；容易诱导选择历史单点赢家。,用于直观理解长期复利结果，不用于单独决策。
风险,max_drawdown,从历史高点到低点的最大跌幅，代表最痛苦区间。,高收益参数如果最大回撤过深，可能不符合慢慢复利目标。,优先排除回撤超出承受范围的参数。
风险,annualized_volatility,收益波动的年化标准差。,低波动不等于低回撤；趋势策略可能长时间平稳后突然回撤。,配合回撤和夏普判断收益是否靠高波动换来。
收益风险比,sharpe_like_no_rf,不扣无风险利率的类夏普，衡量单位波动获得的收益。,非正态收益、跳空和长回撤会让夏普显得过于乐观。,寻找收益/波动更平衡的参数区域。
收益风险比,calmar,年化收益 / 最大回撤绝对值，更贴近回撤承受能力。,依赖单个最大回撤点，样本变动会改变数值。,适合和最大回撤一起筛选候选参数。
交易摩擦,trade_count / order_count,调仓次数或订单行数。,订单数不是换手率；等权组合会产生很多小额再平衡订单。,用于评估执行复杂度，不能替代换手指标。
交易摩擦,annual_one_way_turnover / annual_two_way_traded,年化单边换手和双边成交，衡量资金被替换的程度。,高换手参数更容易被滑点、最小佣金和冲击成本侵蚀。,收益相近时优先选择换手更低的参数。
成本,cost_drag / total_estimated_cost,交易成本对净值的拖累。,当前成本未完全包含小资金最低5元佣金和真实盘口冲击。,判断高收益是否靠过度交易堆出来。
稳健性,oos_annualized_return / annualized_return_oos_minus_is,样本外年化和样本外相对样本内退化幅度。,样本内冠军如果样本外大幅退化，过拟合嫌疑高。,优先选择样本外仍为正、退化较小的参数区域。
